epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,learning_rate,timestamp,Battery_f1,Battery_acc,Camera_f1,Camera_acc,Performance_f1,Performance_acc,Display_f1,Display_acc,Design_f1,Design_acc,Packaging_f1,Packaging_acc,Price_f1,Price_acc,Shop_Service_f1,Shop_Service_acc,Shipping_f1,Shipping_acc,General_f1,General_acc,Others_f1,Others_acc
1,0.6297015473036699,0.9190210700035095,0.7725361127379053,0.7488125391409785,0.8871032353102373,1.9910774881547803e-05,2025-11-05T16:22:56.381643,0.9603024574669187,0.985200845665962,0.8980716253443526,0.9739252995066948,0.819327731092437,0.9393939393939394,0.875,0.9788583509513742,0.7733887733887734,0.923185341789993,0.8865435356200527,0.9696969696969697,0.8908765652951699,0.9570119802677942,0.6544117647058824,0.8012684989429175,0.9042386185243328,0.9570119802677942,0.7067039106145251,0.8520084566596194,0.12903225806451613,0.7716701902748414
2,0.26397907169352114,0.9497085213661194,0.8258387984802312,0.8017742171245121,0.9159447474484336,1.8925188358598815e-05,2025-11-05T16:29:21.061777,0.9639468690702088,0.9866102889358703,0.9534883720930233,0.9887244538407329,0.86,0.9506694855532065,0.9112903225806451,0.9844961240310077,0.8333333333333334,0.937984496124031,0.9258312020460358,0.9795630725863284,0.9012567324955116,0.9612403100775194,0.8524590163934426,0.9365750528541226,0.930379746835443,0.9689922480620154,0.7538940809968847,0.8886539816772375,0.19834710743801653,0.8632840028188865
3,0.18714008616729522,0.960023045539856,0.8596436483506988,0.81713002865928,0.9231435916259199,1.6951924276746425e-05,2025-11-05T16:35:44.973695,0.9640831758034026,0.9866102889358703,0.9618768328445748,0.9908386187455955,0.8446969696969697,0.9422128259337562,0.9126984126984127,0.9844961240310077,0.8321167883211679,0.9351656095842142,0.9038461538461539,0.9718111346018323,0.9147005444646098,0.966878083157153,0.8739495798319328,0.9471458773784355,0.9447077409162717,0.9753347427766033,0.7534039334341907,0.8851303735024665,0.55,0.9746300211416491
4,0.14700038764678255,0.9643795490264893,0.8873922723653155,0.8569788338331509,0.9229428392711948,1.4209347624283352e-05,2025-11-05T16:42:09.136636,0.9638095238095238,0.9866102889358703,0.9644970414201184,0.9915433403805497,0.8544061302681992,0.9464411557434813,0.916030534351145,0.9844961240310077,0.8498168498168498,0.9422128259337562,0.9181141439205955,0.9767441860465116,0.9205175600739371,0.9696969696969697,0.9039145907473309,0.9619450317124736,0.9453376205787781,0.9760394644115574,0.7529411764705882,0.8816067653276956,0.7719298245614035,0.9908386187455955
5,0.11301731811442846,0.963674783706665,0.8803262344441258,0.8468521148783222,0.9211610163983537,1.1000956916240985e-05,2025-11-05T16:48:35.174537,0.9717514124293786,0.9894291754756871,0.9702380952380952,0.992952783650458,0.8532818532818532,0.9464411557434813,0.9083969465648855,0.9830866807610994,0.833922261484099,0.9337561663143058,0.9095477386934674,0.9746300211416491,0.9097472924187726,0.9647639182522904,0.9087719298245615,0.9633544749823819,0.9470304975922953,0.9767441860465116,0.7590361445783133,0.8872445384073291,0.711864406779661,0.9880197322057788
6,0.09051947508689383,0.9638029336929321,0.8831327174823046,0.8582969648735586,0.9138494215344513,7.681798497324717e-06,2025-11-05T16:54:58.574338,0.9659090909090909,0.9873150105708245,0.9702380952380952,0.992952783650458,0.8707753479125249,0.9541930937279774,0.9126984126984127,0.9844961240310077,0.8188679245283019,0.9323467230443975,0.9132653061224489,0.9760394644115574,0.9144981412639405,0.9675828047921071,0.9247311827956989,0.9704016913319239,0.944,0.9753347427766033,0.7461430575035063,0.8724453840732911,0.7333333333333333,0.9887244538407329
7,0.07443858554560534,0.9642513990402222,0.8828750760758886,0.8581040199307443,0.9122496222153412,4.619176468366274e-06,2025-11-05T17:01:21.631346,0.9660377358490566,0.9873150105708245,0.9644970414201184,0.9915433403805497,0.8661417322834646,0.9520789288231148,0.9176470588235294,0.985200845665962,0.8364312267657993,0.937984496124031,0.9113924050632911,0.9753347427766033,0.9148148148148149,0.9675828047921071,0.9205776173285198,0.9689922480620154,0.9421221864951769,0.9746300211416491,0.7478260869565218,0.8773784355179705,0.7241379310344828,0.9887244538407329
8,0.06390550811315926,0.9640591740608215,0.8876366655036471,0.8660044175610274,0.9113177446490727,2.1520061472133903e-06,2025-11-05T17:07:44.680889,0.9678638941398866,0.9880197322057788,0.9644970414201184,0.9915433403805497,0.8565737051792829,0.9492600422832981,0.9133858267716536,0.9844961240310077,0.8261682242990654,0.9344608879492601,0.9177057356608479,0.9767441860465116,0.9128014842300557,0.966878083157153,0.918918918918919,0.9682875264270613,0.9443561208267091,0.9753347427766033,0.7492795389048992,0.8773784355179705,0.7924528301886793,0.9922480620155039
9,0.05642620247434563,0.9638670086860657,0.8868557040203058,0.8665827145291041,0.9093590542304739,5.533090839208133e-07,2025-11-05T17:14:10.504415,0.9659090909090909,0.9873150105708245,0.9673590504451038,0.9922480620155039,0.8611111111111112,0.9506694855532065,0.9133858267716536,0.9844961240310077,0.8311688311688312,0.9358703312191684,0.906801007556675,0.9739252995066948,0.9111111111111111,0.9661733615221987,0.9172661870503597,0.9675828047921071,0.9424920127795527,0.9746300211416491,0.7463556851311953,0.8773784355179705,0.7924528301886793,0.9922480620155039
10,0.05437477868522557,0.963674783706665,0.887508668615311,0.868692324647277,0.9082821311535508,0.0,2025-11-05T17:20:34.054416,0.9659090909090909,0.9873150105708245,0.9673590504451038,0.9922480620155039,0.8611111111111112,0.9506694855532065,0.9090909090909091,0.9837914023960536,0.8274582560296846,0.9344608879492601,0.906801007556675,0.9739252995066948,0.9128014842300557,0.966878083157153,0.9172661870503597,0.9675828047921071,0.944,0.9753347427766033,0.7431059506531205,0.8752642706131079,0.8076923076923077,0.992952783650458
