epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,learning_rate,timestamp,Battery_f1,Battery_acc,Camera_f1,Camera_acc,Performance_f1,Performance_acc,Display_f1,Display_acc,Design_f1,Design_acc,Packaging_f1,Packaging_acc,Price_f1,Price_acc,Shop_Service_f1,Shop_Service_acc,Shipping_f1,Shipping_acc,General_f1,General_acc,Others_f1,Others_acc
1,0.548204765098388,0.93119877576828,0.8153007558101976,0.7851340836671196,0.8878477127059857,1.991041715057959e-05,2025-11-02T21:52:58.421811,0.9376181474480151,0.9769392033542977,0.9746835443037974,0.9944095038434662,0.8195488721804511,0.9329140461215933,0.9148936170212766,0.9832285115303984,0.7941176470588235,0.9217330538085255,0.8530805687203792,0.9566736547868623,0.9146757679180887,0.9650593990216632,0.5299334811529933,0.7037037037037037,0.934931506849315,0.973445143256464,0.720112517580872,0.8609364081062194,0.5747126436781609,0.9741439552760307
2,0.2212648616073518,0.960612416267395,0.8853498672255239,0.8797774606812703,0.8986418676308484,1.8924113200446718e-05,2025-11-02T21:56:45.535015,0.9523809523809523,0.9825296995108316,0.9716088328075709,0.9937106918238994,0.8617234468937875,0.9517819706498952,0.9366197183098591,0.9874213836477987,0.8108108108108109,0.9315164220824598,0.8957871396895787,0.9671558350803634,0.9330985915492958,0.973445143256464,0.8357142857142857,0.9357092941998603,0.9376053962900506,0.9741439552760307,0.7613941018766756,0.8756114605171209,0.8421052631578947,0.9937106918238994
3,0.16386716312328198,0.9604853391647339,0.878175470209854,0.8617812681458666,0.9020969471730627,1.6950425082568932e-05,2025-11-02T22:00:32.327277,0.9494163424124513,0.9818308874912649,0.9776357827476039,0.9951083158630328,0.8516377649325626,0.9461914744933613,0.8235294117647058,0.9685534591194969,0.8324324324324325,0.9350104821802935,0.9017857142857143,0.9692522711390635,0.9314586994727593,0.9727463312368972,0.874766355140187,0.9531795946890287,0.9486301369863014,0.9790356394129979,0.7686375321336761,0.8742138364779874,0.8,0.9902166317260657
4,0.12559449846476484,0.9615653157234192,0.8858514371357562,0.8641884287180371,0.9113173704515654,1.4207726136222255e-05,2025-11-02T22:04:22.149747,0.962671905697446,0.986722571628232,0.9840255591054313,0.9965059399021663,0.8492063492063492,0.9468902865129281,0.8850174216027874,0.9769392033542977,0.818815331010453,0.9273235499650594,0.8913525498891353,0.9657582110412299,0.9359430604982206,0.9748427672955975,0.8897485493230174,0.960167714884696,0.9415692821368948,0.9755415793151643,0.767833981841764,0.8749126484975541,0.8181818181818182,0.9916142557651991
5,0.09595396493525145,0.9623276591300964,0.892188069884996,0.8786569896045734,0.9077477995689972,1.099947480659739e-05,2025-11-02T22:08:04.756945,0.9592233009708738,0.9853249475890985,0.9777777777777777,0.9951083158630328,0.8448979591836735,0.9468902865129281,0.9071428571428571,0.9818308874912649,0.8479087452471483,0.944095038434661,0.8962472406181016,0.9671558350803634,0.9363957597173145,0.9748427672955975,0.9287169042769857,0.9755415793151643,0.9525423728813559,0.9804332634521313,0.7378190255220418,0.8420684835779175,0.8253968253968254,0.9923130677847659
6,0.07411573614597362,0.9628359079360962,0.8879520792292213,0.8756996396462179,0.9017886143083309,7.680639312705671e-06,2025-11-02T22:11:42.959018,0.9612403100775194,0.9860237596086653,0.9777777777777777,0.9951083158630328,0.8353909465020576,0.944095038434661,0.8873239436619719,0.9776380153738644,0.8286252354048964,0.9364081062194269,0.9002123142250531,0.9671558350803634,0.9376114081996435,0.9755415793151643,0.90625,0.9664570230607966,0.9523809523809523,0.9804332634521313,0.7552631578947369,0.870020964360587,0.8253968253968254,0.9923130677847659
7,0.056980732483685265,0.9639794230461121,0.8910257051419085,0.8807504526675589,0.9022210175951038,4.618423156835098e-06,2025-11-02T22:15:26.597357,0.9590643274853801,0.9853249475890985,0.9808917197452229,0.9958071278825996,0.8405797101449275,0.9461914744933613,0.8992805755395683,0.9804332634521313,0.8446969696969697,0.9426974143955276,0.8969957081545065,0.9664570230607966,0.9326241134751773,0.973445143256464,0.9141716566866267,0.9699510831586303,0.9553264604810997,0.9818308874912649,0.7651515151515151,0.870020964360587,0.8125,0.9916142557651991
8,0.04526487906468647,0.9642335176467896,0.8917923912124229,0.8841775873031886,0.9012526349651021,2.151636894455531e-06,2025-11-02T22:19:07.222141,0.9612403100775194,0.9860237596086653,0.9808917197452229,0.9958071278825996,0.845691382765531,0.9461914744933613,0.8953068592057761,0.9797344514325647,0.8473282442748091,0.944095038434661,0.8961038961038961,0.9664570230607966,0.9359430604982206,0.9748427672955975,0.9090909090909091,0.9678546470999301,0.9523809523809523,0.9804332634521313,0.7660668380462725,0.872816212438854,0.819672131147541,0.9923130677847659
9,0.039053506008479434,0.9646782279014587,0.8925001300951554,0.8865094457904553,0.8997472697991055,5.532113642930304e-07,2025-11-02T22:22:50.605441,0.9592233009708738,0.9853249475890985,0.9840255591054313,0.9965059399021663,0.84472049689441,0.9475890985324947,0.8928571428571429,0.9790356394129979,0.8479087452471483,0.944095038434661,0.8941684665226782,0.9657582110412299,0.9376114081996435,0.9755415793151643,0.9141716566866267,0.9699510831586303,0.9507640067911715,0.9797344514325647,0.7723785166240409,0.8756114605171209,0.819672131147541,0.9923130677847659
10,0.03621533279718217,0.9643605947494507,0.8917865676333612,0.8863312366967251,0.8985580559686053,0.0,2025-11-02T22:26:36.279360,0.9592233009708738,0.9853249475890985,0.9840255591054313,0.9965059399021663,0.845360824742268,0.9475890985324947,0.8920863309352518,0.9790356394129979,0.8479087452471483,0.944095038434661,0.8917748917748918,0.9650593990216632,0.9376114081996435,0.9755415793151643,0.9141716566866267,0.9699510831586303,0.9489795918367347,0.9790356394129979,0.768837803320562,0.8735150244584207,0.819672131147541,0.9923130677847659
