epoch,train_loss,val_accuracy,val_f1,val_precision,val_recall,learning_rate,timestamp,Battery_f1,Battery_acc,Camera_f1,Camera_acc,Performance_f1,Performance_acc,Display_f1,Display_acc,Design_f1,Design_acc,Packaging_f1,Packaging_acc,Price_f1,Price_acc,Shop_Service_f1,Shop_Service_acc,Shipping_f1,Shipping_acc,General_f1,General_acc,Others_f1,Others_acc
1,0.22221348112758085,0.9268091917037964,0.936129769296608,0.9426450786748479,0.9339301457215374,1.996954649224253e-05,2025-11-06T01:37:56.196382,0.9305555359778299,0.9297520661157025,0.9318107548542331,0.93125,0.9303862262627585,0.9285714285714286,0.9135805959694719,0.9136690647482014,0.9139442712081234,0.916,0.9456904252727322,0.946078431372549,0.9198276597484122,0.9104477611940298,0.9593767879103129,0.9578059071729957,0.9535156222234332,0.9540983606557377,0.8987395828353808,0.885558583106267,1.0,1.0
2,0.039305094171651435,0.9506579041481018,0.9548324618209811,0.9560670263822456,0.9546196063299316,1.937101193220395e-05,2025-11-06T01:42:38.506487,0.9423056083020358,0.9421487603305785,0.9376209698287015,0.9375,0.9551810176125244,0.9553571428571429,0.9568288256755779,0.9568345323741008,0.9397666747908036,0.94,0.9506933420896271,0.9509803921568627,0.9478310112638472,0.9477611940298507,0.9669306384989996,0.9662447257383966,0.9632603838595925,0.9639344262295082,0.9427386081090833,0.9400544959128065,1.0,1.0
3,0.01754274794635574,0.9580591917037964,0.9600625177826845,0.9608050583773419,0.9603076638728543,1.8050312397813816e-05,2025-11-06T01:47:21.969122,0.9543986791235647,0.9545454545454546,0.9501022098017906,0.95,0.9548322396981233,0.9553571428571429,0.9424003654219482,0.9424460431654677,0.928,0.928,0.9605406385839822,0.9607843137254902,0.9583139060751,0.9589552238805971,0.9830901856763926,0.9831223628691983,0.9729679681266706,0.9737704918032787,0.9560415031019566,0.9564032697547684,1.0,1.0
4,0.011128149013375247,0.9592927694320679,0.9611009448813026,0.9617416335068001,0.961467189599103,1.6109225898990277e-05,2025-11-06T01:52:06.096412,0.9668250305802076,0.9669421487603306,0.95625,0.95625,0.9505722337244077,0.9508928571428571,0.9351661131228677,0.935251798561151,0.9389876847290641,0.94,0.9555370471217607,0.9558823529411765,0.9613169341681951,0.9626865671641791,0.9873248003826872,0.9873417721518988,0.9664722946620399,0.9672131147540983,0.953658255203099,0.9536784741144414,1.0,1.0
5,0.008479284853356703,0.9605262875556946,0.9624463542425468,0.9627752959239754,0.9628606210241741,1.3697339768646626e-05,2025-11-06T01:56:45.099538,0.9668931112041008,0.9669421487603306,0.943968008255934,0.94375,0.9549718196457327,0.9553571428571429,0.9568345323741008,0.9568345323741008,0.9347000000000001,0.936,0.9605406385839822,0.9607843137254902,0.9531933770553151,0.9552238805970149,0.9832406380695528,0.9831223628691983,0.9761493358860835,0.9770491803278688,0.9564184355932117,0.9564032697547684,1.0,1.0
6,0.007264235589409147,0.9580591917037964,0.9597232039002068,0.9606014443108811,0.9599464931483762,1.1000522907394634e-05,2025-11-06T02:01:18.822729,0.9584872821792977,0.9586776859504132,0.94375,0.94375,0.9593372512556425,0.9598214285714286,0.9277903936797511,0.9280575539568345,0.9355671324248175,0.936,0.9704749996789952,0.9705882352941176,0.9543700081013514,0.9552238805970149,0.9832760311165266,0.9831223628691983,0.9698280335213798,0.9704918032786886,0.9540741109445149,0.9536784741144414,1.0,1.0
7,0.004866676308094864,0.9609375,0.9633537716289652,0.9638842732730069,0.9637622761149697,8.226602035926437e-06,2025-11-06T02:05:59.205668,0.9625588562942963,0.9628099173553719,0.9501022098017906,0.95,0.9550360976233069,0.9553571428571429,0.9568002740664612,0.9568345323741008,0.9391554867727427,0.94,0.9704749996789952,0.9705882352941176,0.9540410590344507,0.9552238805970149,0.9829439792021962,0.9831223628691983,0.9721062334944442,0.9737704918032787,0.953672291949933,0.9536784741144414,1.0,1.0
8,0.0044300916398653445,0.9625822305679321,0.9649113490795265,0.9656445788555388,0.9652384809543194,5.589345796251014e-06,2025-11-06T02:10:42.760441,0.9667366648355051,0.9669421487603306,0.9501022098017906,0.95,0.9636752136752137,0.9642857142857143,0.9567487958785514,0.9568345323741008,0.9396273548387097,0.94,0.9704749996789952,0.9705882352941176,0.9572820033187973,0.9589552238805971,0.9829439792021962,0.9831223628691983,0.9696922942053126,0.9704918032786886,0.9567413244397184,0.9564032697547684,1.0,1.0
9,0.0035656591214731316,0.9621710777282715,0.9642171196334737,0.964937113837497,0.964576960231473,3.2919909464113865e-06,2025-11-06T02:15:22.804715,0.9625588562942963,0.9628099173553719,0.9501022098017906,0.95,0.9547911579161579,0.9553571428571429,0.9568002740664612,0.9568345323741008,0.9429431643625191,0.944,0.9704749996789952,0.9705882352941176,0.9570315975392439,0.9589552238805971,0.9792990284042227,0.9789029535864979,0.9729207066286192,0.9737704918032787,0.9594663212759044,0.9591280653950953,1.0,1.0
10,0.0029308135518093014,0.9621710777282715,0.9641877345614386,0.9648324367967152,0.964562197223783,1.5115801812855103e-06,2025-11-06T02:20:05.176882,0.9667676457449185,0.9669421487603306,0.9501022098017906,0.95,0.9592318256194483,0.9598214285714286,0.9495736435400081,0.9496402877697842,0.9391554867727427,0.94,0.9704749996789952,0.9705882352941176,0.9571479370659436,0.9589552238805971,0.9873248003826872,0.9873417721518988,0.9696922942053126,0.9704918032786886,0.9565942373639774,0.9564032697547684,1.0,1.0
11,0.0028503865395957577,0.9617598652839661,0.9638068371185455,0.9644546609412997,0.9641865398233324,3.853185651539937e-07,2025-11-06T02:24:55.291895,0.9625777738730951,0.9628099173553719,0.9501022098017906,0.95,0.9592318256194483,0.9598214285714286,0.9495736435400081,0.9496402877697842,0.9391554867727427,0.94,0.9704749996789952,0.9705882352941176,0.9571479370659436,0.9589552238805971,0.9873248003826872,0.9873417721518988,0.9696922942053126,0.9704918032786886,0.9565942373639774,0.9564032697547684,1.0,1.0
12,0.0031344820914904624,0.9617598652839661,0.9638068371185455,0.9644546609412997,0.9641865398233324,0.0,2025-11-06T02:29:39.222081,0.9625777738730951,0.9628099173553719,0.9501022098017906,0.95,0.9592318256194483,0.9598214285714286,0.9495736435400081,0.9496402877697842,0.9391554867727427,0.94,0.9704749996789952,0.9705882352941176,0.9571479370659436,0.9589552238805971,0.9873248003826872,0.9873417721518988,0.9696922942053126,0.9704918032786886,0.9565942373639774,0.9564032697547684,1.0,1.0
